fixture_id,competition,home,away,market,model_probability_pct,market_brier_skill_pct,market_ece_pct,bin_n,bin_prediction_pct,bin_actual_pct,bin_gap_pct,reliable,low_volatility,grade,block_reasons
1575450,PPL,Gil Vicente FC,Rio Ave FC,AWAY_SCORES,61.68,5.3,1.19,110,65.20653820674953,63.63636363636363,1.570174570385896,True,False,C,
1575452,PPL,Moreirense FC,Sporting Clube de Braga,HOME_WIN,26.26,12.79,5.78,39,25.857780615237484,25.64102564102564,0.2167549742118468,True,False,C,
1575452,PPL,Moreirense FC,Sporting Clube de Braga,DRAW,28.15,0.5,1.47,272,24.95044789479565,25.735294117647054,0.7848462228514014,False,False,BLOQUEADO,BRIER_SKILL_BAJO
1575452,PPL,Moreirense FC,Sporting Clube de Braga,AWAY_WIN,45.59,12.13,4.8,37,44.4845856233277,37.83783783783784,6.646747785489865,False,False,BLOQUEADO,BIN_MAL_CALIBRADO
1575452,PPL,Moreirense FC,Sporting Clube de Braga,1X,54.41,12.13,4.8,37,55.515414376672304,62.16216216216216,6.646747785489859,False,False,BLOQUEADO,BIN_MAL_CALIBRADO
1575452,PPL,Moreirense FC,Sporting Clube de Braga,X2,73.74,12.79,5.78,39,74.14221938476253,74.35897435897436,0.2167549742118413,True,True,B,
1575452,PPL,Moreirense FC,Sporting Clube de Braga,OVER_1_5,65.38,-3.49,5.61,91,66.31038376626354,73.62637362637363,7.315989860110084,False,False,BLOQUEADO,BRIER_SKILL_BAJO | BIN_MAL_CALIBRADO
1575452,PPL,Moreirense FC,Sporting Clube de Braga,OVER_2_5,38.66,-3.87,8.43,42,35.75115438460837,54.761904761904766,19.0107503772964,False,False,BLOQUEADO,BRIER_SKILL_BAJO | ECE_ALTO | BIN_MAL_CALIBRADO
1575452,PPL,Moreirense FC,Sporting Clube de Braga,UNDER_3_5,81.25,-3.4,5.97,52,83.62765394739486,71.15384615384616,12.473807793548708,False,False,BLOQUEADO,BRIER_SKILL_BAJO | BIN_MAL_CALIBRADO
1575452,PPL,Moreirense FC,Sporting Clube de Braga,BTTS,44.03,-3.55,9.29,132,45.48797536776174,56.060606060606055,10.572630692844315,False,False,BLOQUEADO,BRIER_SKILL_BAJO | ECE_ALTO | BIN_MAL_CALIBRADO
1575452,PPL,Moreirense FC,Sporting Clube de Braga,HOME_SCORES,60.26,1.63,5.49,70,65.9842477880554,74.28571428571429,8.301466497658883,False,False,BLOQUEADO,BRIER_SKILL_BAJO | BIN_MAL_CALIBRADO
1575452,PPL,Moreirense FC,Sporting Clube de Braga,AWAY_SCORES,73.07,5.3,1.19,93,74.78025915229479,75.26881720430107,0.4885580520062826,True,True,A,
1492322,BSA,RB Bragantino,SC Corinthians Paulista,HOME_WIN,47.0,12.79,5.78,79,44.13181787767503,43.03797468354431,1.093843194130717,True,False,C,
1492322,BSA,RB Bragantino,SC Corinthians Paulista,DRAW,27.76,0.5,1.47,272,24.95044789479565,25.735294117647054,0.7848462228514014,False,False,BLOQUEADO,BRIER_SKILL_BAJO
