competition,market,model,n,prediction_pct,actual_pct,gap_pp,brier,log_loss,high70_n,high70_prediction_pct,high70_actual_pct,high70_gap_pp,high70_brier
ALL,1X,RAW,240,68.20467795257524,72.08333333333333,3.8786553807580892,0.17549382674536335,0.5267388221316384,119,80.3669489815333,82.35294117647058,1.9859921949372805,0.13423964283327225
ALL,1X,ROLLING_BIAS,240,70.50210065466692,72.08333333333333,1.581232678666411,0.17797824009718263,0.5291830662980397,134,81.44971877520022,81.34328358208955,0.10643519311066552,0.14322023537947481
ALL,1X,LOGIT_OFFSET,240,70.50672420971328,72.08333333333333,1.576609123620043,0.17908861075451382,0.5336273230339542,138,80.7345891621535,81.15942028985508,0.42483112770157483,0.14550967135242548
ALL,AWAY_SCORES,RAW,240,67.71295277552319,67.08333333333333,0.629619442189866,0.2088413445282607,0.6069799020763461,103,78.0522712707792,77.66990291262135,0.3823683581578474,0.1719373422961151
ALL,AWAY_SCORES,ROLLING_BIAS,240,67.1883962387859,67.08333333333333,0.10506290545256869,0.21039834735244897,0.6109196871872559,104,77.6185681927379,77.88461538461539,0.26604719187748316,0.17256967140972865
ALL,AWAY_SCORES,LOGIT_OFFSET,240,67.18064959788698,67.08333333333333,0.0973162645536596,0.21050243286620096,0.6108020215054333,106,77.63272057513073,77.35849056603774,0.27423000909299056,0.17430985289123543
BSA,1X,RAW,76,73.77525385576449,75.0,1.2247461442355112,0.1848415556991193,0.5511581396254195,48,78.89977971774762,75.0,3.89977971774762,0.17796089154761507
BSA,1X,ROLLING_BIAS,76,74.30919289950386,75.0,0.690807100496138,0.18853207171205297,0.5601683653600272,50,79.22432411267317,76.0,3.2243241126731714,0.17770806668024933
BSA,1X,LOGIT_OFFSET,76,74.26740562211623,75.0,0.7325943778837662,0.1889168777966689,0.5610859496787429,50,79.14234924109124,76.0,3.1423492410912357,0.1776858756848222
BSA,AWAY_SCORES,RAW,76,64.36095488268604,69.73684210526315,5.375887222577102,0.20886272708554143,0.6078495836309225,19,75.42731789000212,73.68421052631578,1.7431073636863248,0.19240966233903337
BSA,AWAY_SCORES,ROLLING_BIAS,76,66.86823908426042,69.73684210526315,2.8686030210027247,0.2103141568543363,0.6107955567371014,29,76.18522099484389,72.41379310344827,3.771427891395618,0.2000651376998497
BSA,AWAY_SCORES,LOGIT_OFFSET,76,66.87609737928577,69.73684210526315,2.860744725977382,0.2107493952160329,0.6117569639481563,30,75.65765177472946,73.33333333333333,2.3243184413961337,0.19620711538006494
PPL,1X,RAW,164,65.62319155841439,70.73170731707317,5.108515758658783,0.17116195235215936,0.5154225530491544,71,81.35883806127578,87.32394366197182,5.965105600696052,0.10468161553343484
PPL,1X,ROLLING_BIAS,164,68.73783839486443,70.73170731707317,1.9938689222087413,0.1730874400805354,0.5148240252693138,84,82.77435845527583,84.52380952380952,1.7494510685336917,0.12269176436710906
PPL,1X,LOGIT_OFFSET,164,68.76396940884362,70.73170731707317,1.9677379082295388,0.17453404797888097,0.5209025936131982,88,81.63927093548433,84.0909090909091,2.4516381554247624,0.12722773707265464
PPL,AWAY_SCORES,RAW,164,69.26631765269161,65.85365853658537,3.4126591161062425,0.2088314355383013,0.6065768789169081,84,78.64601072595497,78.57142857142857,0.0745821545263925,0.16730669847688354
PPL,AWAY_SCORES,ROLLING_BIAS,164,67.33676174941965,65.85365853658537,1.4831032128342803,0.2104373624613305,0.610977211054401,75,78.17279577592362,80.0,1.8272042240763842,0.1619380911108819
PPL,AWAY_SCORES,LOGIT_OFFSET,164,67.32178355284854,65.85365853658537,1.4681250162631776,0.21038798689920568,0.6103594872027078,76,78.41235299634177,78.94736842105263,0.5350154247108607,0.16566619664564475
