fixture_id,home,away,country,competition,api_football_league_id,quality_score,fdorg_code,fdorg_id,fdorg_name
1492325,Flamengo,Vitoria,Brazil,Serie A,71,100,BSA,2013,Campeonato Brasileiro Série A
1575453,Santa Clara,Nacional,Portugal,Primeira Liga,94,85,PPL,2017,Primeira Liga
