market,bin_start_pct,bin_end_pct,n,avg_prediction_pct,actual_rate_pct,absolute_gap_pct
HOME_WIN,0,10,1,7.433438899660734,100.0,92.56656110033926
HOME_WIN,10,20,22,14.783840341109034,4.545454545454546,10.238385795654487
HOME_WIN,20,30,39,25.857780615237484,25.64102564102564,0.21675497421184686
HOME_WIN,30,40,66,35.50967653739109,40.909090909090914,5.399414371699823
HOME_WIN,40,50,79,44.131817877675026,43.037974683544306,1.093843194130717
HOME_WIN,50,60,62,54.73000896762979,61.29032258064516,6.560313613015367
HOME_WIN,60,70,36,64.4874416433396,55.55555555555556,8.931886087784036
HOME_WIN,70,80,11,73.41493843054565,100.0,26.58506156945436
HOME_WIN,80,90,4,84.70437251929778,100.0,15.295627480702223
DRAW,0,10,2,9.599839497296564,0.0,9.599839497296564
DRAW,10,20,31,17.33175682527722,22.58064516129032,5.248888336013103
DRAW,20,30,272,24.950447894795655,25.735294117647058,0.7848462228514014
DRAW,30,40,15,31.713340614533163,26.666666666666668,5.046673947866498
AWAY_WIN,0,10,10,7.201312256899514,0.0,7.201312256899514
AWAY_WIN,10,20,60,15.739914509321856,13.333333333333334,2.406581175988523
AWAY_WIN,20,30,89,25.024129826015027,24.719101123595504,0.3050287024195242
AWAY_WIN,30,40,86,34.65358529164496,26.744186046511626,7.909399245133331
AWAY_WIN,40,50,37,44.4845856233277,37.83783783783784,6.646747785489865
AWAY_WIN,50,60,20,53.99494645112723,70.0,16.005053548872773
AWAY_WIN,60,70,15,65.13868738659866,66.66666666666666,1.5279792800680037
AWAY_WIN,70,80,3,74.08241001357099,66.66666666666666,7.4157433469043355
1X,20,30,3,25.91758998642899,33.33333333333333,7.415743346904341
1X,30,40,15,34.86131261340134,33.33333333333333,1.5279792800680092
1X,40,50,20,46.00505354887279,30.0,16.005053548872787
1X,50,60,37,55.515414376672304,62.16216216216216,6.646747785489859
1X,60,70,86,65.34641470835506,73.25581395348837,7.9093992451333195
1X,70,80,89,74.97587017398497,75.28089887640449,0.3050287024195186
1X,80,90,60,84.26008549067814,86.66666666666667,2.4065811759885314
1X,90,100,10,92.79868774310047,100.0,7.201312256899528
X2,10,20,4,15.295627480702233,0.0,15.295627480702233
X2,20,30,11,26.585061569454343,0.0,26.585061569454343
X2,30,40,36,35.512558356660406,44.44444444444444,8.931886087784036
X2,40,50,62,45.2699910323702,38.70967741935484,6.560313613015362
X2,50,60,79,55.86818212232498,56.9620253164557,1.093843194130717
X2,60,70,66,64.49032346260893,59.09090909090909,5.399414371699828
X2,70,80,39,74.14221938476253,74.35897435897436,0.2167549742118413
X2,80,90,22,85.21615965889097,95.45454545454545,10.238385795654493
X2,90,100,1,92.56656110033924,0.0,92.56656110033924
OVER_1_5,40,50,1,47.955443432660296,0.0,47.955443432660296
OVER_1_5,50,60,12,56.38113221759926,91.66666666666666,35.2855344490674
OVER_1_5,60,70,91,66.31038376626354,73.62637362637363,7.315989860110084
OVER_1_5,70,80,148,74.88676365045852,75.0,0.11323634954147899
OVER_1_5,80,90,66,83.64045821385716,74.24242424242425,9.398033971432918
OVER_1_5,90,100,2,90.07781102808683,100.0,9.92218897191317
OVER_2_5,20,30,8,27.299959095370678,62.5,35.20004090462932
OVER_2_5,30,40,42,35.75115438460837,54.761904761904766,19.010750377296397
OVER_2_5,40,50,122,44.88597461856113,53.278688524590166,8.392713906029037
OVER_2_5,50,60,95,54.18705053151559,55.78947368421052,1.6024231526949317
OVER_2_5,60,70,46,63.832109673148764,54.347826086956516,9.484283586192245
OVER_2_5,70,80,7,72.37189661733075,71.42857142857143,0.9433251887593141
UNDER_3_5,40,50,5,47.288684169196884,80.0,32.71131583080312
UNDER_3_5,50,60,31,56.14091376434579,70.96774193548387,14.826828171138084
UNDER_3_5,60,70,85,65.73393298849132,65.88235294117646,0.14841995268515262
UNDER_3_5,70,80,145,75.23052726219382,71.03448275862068,4.196044503573127
UNDER_3_5,80,90,52,83.62765394739486,71.15384615384616,12.473807793548708
UNDER_3_5,90,100,2,91.0194705655803,100.0,8.980529434419694
BTTS,30,40,27,36.71211676320705,44.44444444444444,7.732327681237394
BTTS,40,50,132,45.48797536776174,56.060606060606055,10.572630692844315
BTTS,50,60,123,53.904687383889424,50.40650406504065,3.49818331884878
BTTS,60,70,36,63.31093016016687,38.88888888888889,24.422041271277976
BTTS,70,80,2,71.16355165676538,100.0,28.836448343234622
HOME_SCORES,40,50,7,45.525589796509266,42.857142857142854,2.668446939366409
HOME_SCORES,50,60,20,55.88920107719717,60.0,4.110798922802827
HOME_SCORES,60,70,70,65.9842477880554,74.28571428571429,8.301466497658883
HOME_SCORES,70,80,107,74.95913459841844,81.30841121495327,6.3492766165348264
HOME_SCORES,80,90,103,84.42839462417201,80.58252427184466,3.845870352327363
HOME_SCORES,90,100,13,92.37105037760826,92.3076923076923,0.06335806991594195
AWAY_SCORES,40,50,15,46.26706970049826,46.666666666666664,0.3995969661684029
AWAY_SCORES,50,60,63,55.93474711143354,55.55555555555556,0.3791915558779779
AWAY_SCORES,60,70,110,65.20653820674953,63.63636363636363,1.570174570385896
AWAY_SCORES,70,80,93,74.78025915229479,75.26881720430107,0.48855805200628266
AWAY_SCORES,80,90,36,84.51905250572302,86.11111111111111,1.5920586053880914
AWAY_SCORES,90,100,3,91.51710771492652,66.66666666666666,24.850441048259864
